Name,Market Cap,Alpha,Beta,5Y CAGR,D/E,EPS (Q),SCORE,Capability,b,c,d,e,f,g
ICICIPRULI,"85,394.27",-0.79,1.02,4.28,0.11,2.25,17,R,3,2,3,1,5,3
JINDALSTEL,"85,040.06",18.9,1.52,34.09,0.37,9.39,25,M,3,5,2,5,5,5
SRF,"84,227.63",0.63,1.18,27.91,0.44,9.15,24,M,3,3,3,5,5,5
POLYCAB,"83,497.62",25.21,0.89,38.69,0.02,30.42,27,S,3,5,4,5,5,5
MARICO,"82,127.76",4.47,0.32,15.9,0.13,3.08,25,M,3,4,5,4,5,4
SBICARD,"81,802.17",-5.95,0.71,-,3.3,4.03,18,R,3,1,4,5,1,4
JSWENERGY,"81,612.64",9.54,1.04,49.04,1.5,0.96,21,M,3,5,3,5,3,2
INDUSINDBK,"81,586.19",-5.99,2.34,-3.18,0,18.01,16,HR,3,1,1,1,5,5
BOSCHLTD,"80,666.29",11.37,0.78,13.25,0,155.53,25,M,3,5,4,3,5,5
CANBK,"80,474.82",10.1,1.43,19.37,0,4.65,24,M,3,5,3,4,5,4
HDFCAMC,"80,287.30",10.45,1.17,2.33,0,30.02,22,M,3,5,3,1,5,5
IDBI,"79,804.33",12.49,1.57,15.76,0,1.81,21,M,2,5,2,4,5,3
SOLARINDS,"79,696.40",44.69,0.54,49.34,0.33,34.8,26,S,2,5,4,5,5,5
HEROMOTOCO,"79,135.29",6.01,1,10.43,0.03,55.38,24,M,2,5,4,3,5,5
RVNL,"79,084.81",86.85,1.49,74.94,0.69,1.38,22,M,2,5,3,5,4,3
OFSS,"78,172.90",29.4,0.78,25.4,0.01,62.37,26,S,2,5,4,5,5,5
CUMMINSIND,"77,652.04",29.92,1.3,38.53,0.02,20.15,25,M,2,5,3,5,5,5
GMRAIRPORT,"76,668.72",12.46,1.05,25.05,-,0.25,18,R,2,5,3,5,1,2
NHPC,"75,639.11",28.9,0.51,26.01,0.74,0.23,22,M,2,5,4,5,4,2
POLICYBZR,"74,820.68",26.57,-,-,0.04,1.57,21,M,2,5,1,5,5,3
SUZLON,"72,812.17",59.66,1.62,90.98,0.04,0.28,21,M,2,5,2,5,5,2
BSE,"71,146.37",65.8,1.18,97.9,0,16,25,M,2,5,3,5,5,5
BHEL,"70,275.00",38.75,1.5,40.36,0.36,0.39,22,M,2,5,3,5,5,2
INDIANB,"70,028.66",34.68,1.59,42.61,0,21.6,24,M,2,5,2,5,5,5
AUROPHARMA,"68,531.69",17.46,0.97,17.48,0.22,14.56,25,M,2,5,4,4,5,5
BHARTIHEXA,"68,282.50",-,-,-,1.75,5.22,21,M,2,5,1,5,3,5
HINDPETRO,"68,122.24",12.49,0.91,15.36,1.42,11.95,23,M,2,5,4,4,3,5
GICRE,"67,833.88",36.12,1.14,11.09,0,9.56,23,M,2,5,3,3,5,5
COLPAL,"67,325.96",16.03,0.63,12.97,0.04,11.87,24,M,2,5,4,3,5,5
OIL,"67,162.64",37.32,1.01,35.8,0.46,8.23,25,M,2,5,3,5,5,5
PATANJALI,"65,910.21",21.34,-0.63,116.65,0.1,10.24,27,S,2,5,5,5,5,5
ATGL,"65,680.66",-20.96,2.2,28.94,0.43,1.29,17,R,2,1,1,5,5,3
ASHOKLEY,"63,743.20",12.04,1.13,21.63,3.45,2.59,19,R,2,5,3,5,1,3
TORNTPOWER,"63,275.17",29.82,0.82,30.99,0.92,9.76,25,M,2,5,4,5,4,5
LLOYDSME,"62,321.91",-,-,172.81,0.01,7.55,23,M,2,5,1,5,5,5
IDEA,"61,683.58",-7.65,1.02,13.94,-,-0.95,11,HR,2,1,3,3,1,1
GODREJPROP,"61,010.74",-0.87,1.74,12.39,1.04,5.7,17,R,2,2,2,3,3,5
ABBOTINDIA,"60,261.00",17.77,0.21,13.9,0.02,169.78,25,M,2,5,5,3,5,5
IRCTC,"59,708.00",-10.63,1.47,18.75,0.02,4.26,19,R,2,1,3,4,5,4
OBEROIRLTY,"59,218.08",14.58,1.22,25.78,0.18,17.01,25,M,2,5,3,5,5,5
PHOENIXLTD,"57,207.34",33.51,1.06,29.22,0.37,7.41,25,M,2,5,3,5,5,5
YESBANK,"56,968.16",6.81,0.98,-13.35,0,0.2,19,R,2,5,4,1,5,2
BERGEPAINT,"56,571.96",-14.07,0.71,0.02,0.14,2.53,16,HR,2,1,4,1,5,3
ALKEM,"56,429.30",10.2,0.72,12.53,0.13,52.34,24,M,2,5,4,3,5,5
NMDC,"55,546.70",15.69,0.76,11.5,0.13,2.14,22,M,2,5,4,3,5,3
COROMANDEL,"54,541.90",23.88,0.46,24.29,0.05,17.39,27,S,2,5,5,5,5,5
UNOMINDA,"54,364.70",19.25,1.22,37.99,0.32,4.05,24,M,2,5,3,5,5,4
KALYANKJIL,"54,299.92",73.36,0.87,-,1.07,2.12,22,M,2,5,4,5,3,3
UBL,"53,680.86",3.9,0.74,9.51,0.02,5,22,M,2,4,4,2,5,5
PRESTIGE,"53,320.10",30.65,1.32,27.78,1.14,0.41,20,R,2,5,3,5,3,2
LTTS,"53,189.75",-3.71,1.19,24.46,0.12,30.47,21,M,2,1,3,5,5,5
COFORGE,"52,665.57",16.05,0.98,34.04,0.19,32.26,26,S,2,5,4,5,5,5
TIINDIA,"52,496.04",15.63,1.63,40.18,0.13,10.01,24,M,2,5,2,5,5,5
FACT,"52,150.77",73.96,0.59,84.89,1.32,0.17,21,M,2,5,4,5,3,2
BHARATFORG,"51,451.90",7.99,1.44,17.42,1.11,4.54,21,M,2,5,3,4,3,4
BALKRISIND,"50,868.52",3.49,1.02,18.02,0.35,23.25,23,M,2,4,3,4,5,5
JSL,"50,126.58",34.75,1.38,71.48,0.42,7.95,25,M,2,5,3,5,5,5
JSWINFRA,"49,862.45",-,-,-,0.58,1.59,20,R,2,5,1,5,4,3
POWERINDIA,"49,820.51",48.93,0.51,-,0.16,32.41,26,S,2,5,4,5,5,5
UPL,"49,739.02",-10.09,1.29,2.55,0.91,9.98,16,HR,2,1,3,1,4,5
SUNDARMFIN,"49,566.71",20.62,0.98,22.31,4.72,41.33,22,M,2,5,4,5,1,5
MPHASIS,"49,347.37",-11.9,0.95,23.88,0.18,22.58,22,M,2,1,4,5,5,5
SUPREMEIND,"49,257.84",21.51,1.17,22.75,0.01,14.72,25,M,2,5,3,5,5,5
PIIND,"48,949.32",0.07,1.23,15.87,0.02,24.55,22,M,2,3,3,4,5,5
NYKAA,"48,721.25",-11.66,-,-,0.76,0.09,15,HR,2,1,1,5,4,2
LINDEINDIA,"48,553.59",23.65,1.07,50.41,0.01,13.64,25,M,2,5,3,5,5,5
PAYTM,"48,169.40",9.9,-,-,0.01,-3.27,19,R,2,5,1,5,5,1
UCOBANK,"48,062.95",40.35,1.15,22.45,0,0.54,22,M,2,5,3,5,5,2
IREDA,"47,589.56",-,-,-,5.8,1.58,17,R,2,5,1,5,1,3
SCHAEFFLER,"47,221.68",13.61,0.63,26.83,0.01,15.1,26,S,2,5,4,5,5,5
MRF,"46,553.75",12.39,0.66,8.94,0.17,743.8,23,M,2,5,4,2,5,5
PAGEIND,"46,490.74",-2.74,0.76,12.13,0.12,183.48,21,M,2,2,4,3,5,5
FORTIS,"46,188.34",24.24,0.87,31.15,0.13,3.28,25,M,2,5,4,5,5,4
BANKINDIA,"46,027.47",14.78,1.56,9.89,0,5.79,21,M,2,5,2,2,5,5
PGHH,"45,184.05",-7.35,0.39,3.66,0,82.74,19,R,2,1,5,1,5,5
SAIL,"45,159.03",-3.41,1.9,19.27,0.64,0.34,15,HR,2,1,2,4,4,2
IDFCFIRSTB,"45,018.16",3.04,1.32,8.5,0,0.46,18,R,2,4,3,2,5,2
FEDERALBNK,"44,638.55",13.38,1.45,15.3,0,3.85,23,M,2,5,3,4,5,4
PETRONET,"44,557.50",11.06,0.72,2.36,0.17,6.01,22,M,2,5,4,1,5,5
JUBLFOOD,"43,539.52",-0.62,0.8,12.53,1.88,0.65,16,HR,2,2,4,3,3,2
TATACOMM,"43,411.20",-0.66,1.97,30.66,6.29,8.28,17,R,2,2,2,5,1,5
BIOCON,"43,041.39",-7.5,0.73,3.19,0.64,0.21,14,HR,2,1,4,1,4,2
BDL,"42,766.85",53.68,1.21,53.41,0,4.01,24,M,2,5,3,5,5,4
CONCOR,"42,318.54",-0.22,1.24,4.18,0.08,6.03,18,R,2,2,3,1,5,5
CENTRALBK,"42,258.81",25.99,1.14,22.78,0,1.11,23,M,2,5,3,5,5,3
ABCAPITAL,"41,512.23",2.46,1.67,11.53,3.85,2.72,14,HR,2,3,2,3,1,3
FLUOROCHEM,"41,439.26",8.66,1.13,46.14,0.35,11.47,25,M,2,5,3,5,5,5
VOLTAS,"41,312.61",-6.61,0.89,12.74,0.13,3.99,19,R,2,1,4,3,5,4
AUBANK,"41,168.49",-7.95,1.66,-0.74,0,7.1,16,HR,2,1,2,1,5,5
BLUESTARCO,"41,016.04",41.46,1.12,37.86,0.09,6.44,25,M,2,5,3,5,5,5
GLENMARK,"39,822.39",32.13,1.1,33.92,0.16,12.55,25,M,2,5,3,5,5,5
GVT&D,"39,738.42",94.55,1.63,59.86,0.03,5.57,24,M,2,5,2,5,5,5
MOTILALOFS,"38,731.38",34.94,0.59,27.28,1.57,9.43,24,M,2,5,4,5,3,5
HUDCO,"38,548.59",56.79,1.63,40.76,4.45,3.67,19,R,2,5,2,5,1,4
TATAELXSI,"38,206.94",-9.62,0.98,41.3,0.09,31.95,22,M,2,1,4,5,5,5
APLAPOLLO,"38,137.43",12.7,0.99,46.72,0.32,7.82,26,S,2,5,4,5,5,5
IPCALAB,"37,824.76",14.92,0.42,16.02,0.19,9.78,26,S,2,5,5,4,5,5
MAHABANK,"37,796.30",26.22,0.89,32.46,0,1.84,24,M,2,5,4,5,5,3
360ONE,"37,423.26",23.58,1.09,18.79,2.75,7.26,21,M,2,5,3,4,2,5
CRISIL,"37,272.18",15.88,0.35,26.16,0.02,30.72,27,S,2,5,5,5,5,5
MFSL,"37,267.22",6.43,0.93,17.04,0.12,1.62,23,M,2,5,4,4,5,3
JKCEMENT,"37,057.47",7.48,1.14,27.64,1.04,24.54,23,M,2,5,3,5,3,5
ASTRAL,"36,821.76",-4.92,0.98,15.19,0.04,4.25,20,R,2,1,4,4,5,4
KPITTECH,"36,404.43",23.79,1.71,72.03,0.15,6.89,24,M,2,5,2,5,5,5
SJVN,"36,378.11",34.8,0.63,29.47,1.44,1.1,22,M,2,5,4,5,3,3
ACC,"35,945.30",-10.69,0.91,5.86,0.02,58.14,19,R,2,1,4,2,5,5
THERMAX,"35,791.08",18.98,0.57,26.04,0.29,10.29,26,S,2,5,4,5,5,5
NATIONALUM,"35,164.15",11.95,1.02,35.84,0.01,8.53,25,M,2,5,3,5,5,5
LTF,"35,010.48",12.66,1.95,3.55,3.26,2.51,14,HR,2,5,2,1,1,3
NAM-INDIA,"34,931.55",14.14,0.91,6.8,0,4.66,22,M,2,5,4,2,5,4
M&MFIN,"34,896.31",11.74,1.97,3.63,4.92,7.43,16,HR,2,5,2,1,1,5
COCHINSHIP,"34,193.92",72.49,0.9,48.77,0.1,6.73,26,S,2,5,4,5,5,5
GLAXO,"33,860.88",9.71,0.39,8.26,0.01,14.67,24,M,2,5,5,2,5,5
DALBHARAT,"33,731.72",-7.36,1.27,15.52,0.29,3.25,19,R,2,1,3,4,5,4
ESCORTS,"33,243.63",12.63,0.61,27.74,0.01,29.16,26,S,2,5,4,5,5,5
AIAENG,"32,858.57",20.61,0.67,13.88,0.07,27.78,24,M,2,5,4,3,5,5
KEI,"32,526.10",35.78,1.51,44.78,0.05,17.87,24,M,2,5,2,5,5,5
LAURUSLABS,"32,409.07",-1.85,1.47,46.77,0.63,1.71,19,R,2,2,3,5,4,3
SONACOMS,"32,108.62",-11.41,0.97,-,0.15,2.43,20,R,2,1,4,5,5,3
AWL,"31,738.15",-11.06,-,-,0.32,3.16,18,R,2,1,1,5,5,4
METROBRAND,"31,227.30",21.86,-,-,0.58,3.48,21,M,2,5,1,5,4,4
EXIDEIND,"31,190.75",22.56,0.94,15.18,0.09,1.84,23,M,2,5,4,4,5,3
HONAUT,"31,190.24",-7.18,0.9,-0.82,0.02,149.35,18,R,2,1,4,1,5,5
AJANTPHARM,"31,173.06",23.59,0.31,20.82,0.01,18.6,27,S,2,5,5,5,5,5
